Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,340.000000,340.260010,329.309998,330.000000,330.000000,1438700
2018-01-23,330.000000,334.390015,327.989990,328.709991,328.709991,1225200
2018-01-24,329.920013,331.940002,324.269989,329.529999,329.529999,786800
2018-01-25,330.339996,335.179993,329.600006,333.970001,333.970001,573900
2018-01-26,332.559998,332.559998,326.769989,330.230011,330.230011,665600
2018-01-29,327.000000,336.239990,325.000000,332.329987,332.329987,764800
2018-01-30,329.690002,331.190002,313.010010,322.079987,322.079987,1929300
2018-01-31,322.869995,330.000000,321.679993,324.760010,324.760010,737200
2018-02-01,314.059998,315.200012,306.200012,314.720001,314.720001,1646300
2018-02-02,313.809998,317.500000,310.850006,311.640015,311.640015,952000
2018-02-05,310.880005,314.359985,299.170013,300.299988,300.299988,1349300
2018-02-06,296.799988,305.459991,293.549988,304.329987,304.329987,2092200
2018-02-07,273.640015,279.700012,268.040009,272.209991,272.209991,4780600
2018-02-08,270.170013,271.109985,265.000000,266.010010,266.010010,1891100
2018-02-09,266.790009,267.339996,247.520004,255.460007,255.460007,3064600
2018-02-12,257.000000,259.160004,249.309998,254.449997,254.449997,1953500
2018-02-13,254.130005,257.959991,250.630005,251.330002,251.330002,1520300
2018-02-14,281.500000,292.059998,281.000000,289.910004,289.910004,5384600
2018-02-15,291.989990,292.600006,286.160004,286.649994,286.649994,1209000
2018-02-16,287.000000,306.000000,286.760010,305.630005,305.630005,2742400
2018-02-20,304.470001,322.250000,300.000000,317.570007,317.570007,2731500
2018-02-21,318.000000,324.440002,316.010010,322.230011,322.230011,1403069
